Order,	Nominal_X,	Nominal_Y,	Nominal_Z,	Measured_X,	Measured_Y,	Measured_Z,	Corrected_X,	Corrected_Y,	Corrected_Z,	DevMeasured_X,	DevMeasured_Y,	DevMeasured_Z,	DevCorrected_X,	DevCorrected_Y,	DevCorrected_Z
1, 3514.450, -579.540, 688.220 , 3514.520, -579.570, 687.990 , 3514.490, -579.507, 688.114 , 0.070, -0.030, -0.230 , 0.040, 0.033, -0.106 
2, 3483.840, -626.300, 684.200 , 3483.870, -626.310, 684.070 , 3483.853, -626.256, 684.198 , 0.030, -0.010, -0.130 , 0.013, 0.044, -0.002 
3, 3444.280, -667.510, 678.220 , 3444.280, -667.520, 678.190 , 3444.275, -667.478, 678.317 , 0.000, -0.010, -0.030 , -0.005, 0.032, 0.097 
4, 3397.300, -701.610, 670.520 , 3397.320, -701.620, 670.460 , 3397.326, -701.592, 670.582 , 0.020, -0.010, -0.060 , 0.026, 0.018, 0.062 
5, 3340.520, -731.080, 660.750 , 3340.540, -731.090, 660.670 , 3340.557, -731.079, 660.783 , 0.020, -0.010, -0.080 , 0.037, 0.001, 0.033 
6, 3289.080, -751.100, 651.640 , 3289.080, -751.100, 651.660 , 3289.105, -751.105, 651.762 , 0.000, 0.000, 0.020 , 0.025, -0.005, 0.122 
7, 3276.040, -763.790, 628.440 , 3275.880, -763.800, 628.360 , 3275.915, -763.815, 628.462 , -0.160, -0.010, -0.080 , -0.125, -0.025, 0.022 
8, 3301.330, -772.420, 578.880 , 3301.200, -772.430, 578.810 , 3301.253, -772.452, 578.922 , -0.130, -0.010, -0.070 , -0.077, -0.032, 0.042 
9, 3326.720, -777.410, 527.450 , 3326.560, -777.420, 527.370 , 3326.630, -777.451, 527.492 , -0.160, -0.010, -0.080 , -0.090, -0.041, 0.042 
10, 3350.230, -779.070, 478.530 , 3350.020, -779.080, 478.430 , 3350.106, -779.119, 478.559 , -0.210, -0.010, -0.100 , -0.124, -0.049, 0.029 
11, 3360.750, -777.470, 467.750 , 3360.750, -777.460, 467.530 , 3360.839, -777.499, 467.662 , 0.000, 0.010, -0.220 , 0.089, -0.029, -0.088 
12, 3414.220, -751.580, 467.710 , 3414.210, -751.570, 467.420 , 3414.293, -751.596, 467.562 , -0.010, 0.010, -0.290 , 0.073, -0.016, -0.148 
13, 3462.510, -716.640, 467.700 , 3462.500, -716.630, 467.420 , 3462.574, -716.643, 467.567 , -0.010, 0.010, -0.280 , 0.064, -0.003, -0.133 
14, 3505.310, -672.010, 467.700 , 3505.290, -672.000, 467.400 , 3505.352, -672.003, 467.548 , -0.020, 0.010, -0.300 , 0.042, 0.007, -0.152 
15, 3536.890, -625.090, 467.700 , 3536.870, -625.080, 467.330 , 3536.921, -625.075, 467.474 , -0.020, 0.010, -0.370 , 0.031, 0.015, -0.226 
16, 3562.020, -574.150, 467.700 , 3562.010, -574.140, 467.440 , 3562.048, -574.128, 467.577 , -0.010, 0.010, -0.260 , 0.028, 0.022, -0.123 
17, 3583.500, -516.080, 467.700 , 3583.490, -516.080, 467.570 , 3583.513, -516.063, 467.698 , -0.010, 0.000, -0.130 , 0.013, 0.017, -0.002 
18, 3583.050, -505.450, 472.200 , 3583.050, -505.490, 472.190 , 3583.069, -505.472, 472.314 , 0.000, -0.040, -0.010 , 0.019, -0.022, 0.114 
19, 3575.690, -519.870, 522.160 , 3575.690, -519.990, 522.130 , 3575.697, -519.959, 522.256 , 0.000, -0.120, -0.030 , 0.007, -0.089, 0.096 
20, 3561.530, -536.740, 581.810 , 3561.520, -536.880, 581.770 , 3561.512, -536.836, 581.897 , -0.010, -0.140, -0.040 , -0.018, -0.096, 0.087 
21, 3544.120, -550.990, 633.320 , 3544.120, -550.970, 633.320 , 3544.100, -550.915, 633.445 , 0.000, 0.020, 0.000 , -0.020, 0.075, 0.125 
22, 3520.350, -565.060, 685.160 , 3520.350, -564.970, 685.180 , 3520.317, -564.907, 685.302 , 0.000, 0.090, 0.020 , -0.033, 0.153, 0.142 
