Order,	Nominal_X,	Nominal_Y,	Nominal_Z,	Measured_X,	Measured_Y,	Measured_Z,	Corrected_X,	Corrected_Y,	Corrected_Z,	DevMeasured_X,	DevMeasured_Y,	DevMeasured_Z,	DevCorrected_X,	DevCorrected_Y,	DevCorrected_Z
Order,Nominal points [mm],Measured points [mm],Corrected points [mm],Dev. before corr. [mm],Dev. after corr. [mm]
37, -271.623, -270.209, -33.047 , -322.225, -177.761, 1.189 , -271.624, -270.208, -33.043 , -50.602, 92.449, 34.235 , -0.001, 0.001, 0.004 
38, -96.288, -274.859, 31.643 , -157.818, -217.260, 80.931 , -96.289, -274.858, 31.646 , -61.530, 57.599, 49.288 , -0.001, 0.001, 0.004 
39, 80.723, -274.859, 96.070 , 9.461, -252.800, 159.916 , 80.722, -274.859, 96.073 , -71.263, 22.060, 63.846 , -0.001, 0.001, 0.004 
40, 256.619, -270.209, 159.218 , 176.973, -283.819, 236.897 , 256.618, -270.209, 159.222 , -79.646, -13.609, 77.679 , -0.001, 0.001, 0.004 
41, 428.626, -260.982, 220.092 , 342.078, -309.828, 310.661 , 428.625, -260.982, 220.095 , -86.549, -48.845, 90.569 , -0.001, 0.000, 0.003 
42, 594.031, -247.324, 277.731 , 502.170, -330.417, 380.045 , 594.030, -247.324, 277.735 , -91.861, -83.093, 102.314 , -0.001, 0.000, 0.003 
43, 750.225, -229.450, 331.228 , 654.725, -345.262, 443.954 , 750.224, -229.450, 331.231 , -95.500, -115.812, 112.727 , -0.001, -0.000, 0.003 
44, 894.745, -207.642, 379.737 , 797.338, -354.128, 501.380 , 894.744, -207.642, 379.739 , -97.407, -146.486, 121.644 , -0.001, -0.000, 0.003 
45, 1025.313, -182.244, 422.493 , 927.760, -356.876, 551.419 , 1025.312, -182.245, 422.496 , -97.553, -174.632, 128.925 , -0.001, -0.000, 0.003 
46, 1139.868, -153.657, 458.824 , 1043.932, -353.462, 593.279 , 1139.868, -153.657, 458.826 , -95.936, -199.805, 134.455 , -0.001, -0.001, 0.002 
47, 1236.605, -122.330, 488.155 , 1144.024, -343.940, 626.302 , 1236.604, -122.331, 488.157 , -92.580, -221.609, 138.147 , -0.000, -0.001, 0.002 
48, 1313.997, -88.760, 510.024 , 1226.457, -328.460, 649.967 , 1313.997, -88.760, 510.026 , -87.540, -239.700, 139.943 , -0.000, -0.001, 0.002 
49, 1370.825, -53.474, 524.086 , 1289.931, -307.266, 663.900 , 1370.825, -53.475, 524.088 , -80.894, -253.792, 139.814 , -0.000, -0.001, 0.001 
50, 1406.191, -17.029, 530.120 , 1333.445, -280.693, 667.882 , 1406.191, -17.030, 530.121 , -72.747, -263.664, 137.762 , 0.000, -0.001, 0.001 
